Symbol,Name,Sector,Industry,Full Time Employees,Total ESG Risk score,Environment Risk Score,Governance Risk Score,Social Risk Score,Controversy Level,Controversy Score,ESG Risk Percentile,ESG Risk Level
DD,"Dupont De Nemours, Inc.",Basic Materials,Specialty Chemicals,24000.0,28.6,14.7,5.9,8.0,Significant Controversy Level,3.0,63.0,Medium
DUK,Duke Energy Corporation,Utilities,Utilities - Regulated Electric,27037.0,27.0,11.5,4.8,10.7,Moderate Controversy Level,2.0,57.0,Medium
DTE,Dte Energy Company,Utilities,Utilities - Regulated Electric,9608.0,29.8,15.0,4.7,10.0,Moderate Controversy Level,2.0,68.0,Medium
DOW,Dow Inc.,Basic Materials,Chemicals,35900.0,21.05,4.05,6.1,8.9,Unknown,2.0,32.0,Unknown
DOV,Dover Corporation,Industrials,Specialty Industrial Machinery,25000.0,25.9,8.0,5.4,12.5,Low Controversy Level,1.0,53.0,Medium
D,"Dominion Energy, Inc",Utilities,Utilities - Regulated Electric,17700.0,26.4,11.9,5.6,8.8,Moderate Controversy Level,2.0,55.0,Medium
DLTR,Dollar Tree Inc.,Consumer Defensive,Discount Stores,65894.0,20.1,3.3,4.0,12.8,Moderate Controversy Level,2.0,28.0,Medium
DG,Dollar General Corp.,Consumer Defensive,Discount Stores,185800.0,17.6,3.5,5.5,8.6,Moderate Controversy Level,2.0,19.0,Low
DFS,Discover Financial Services,Financial Services,Credit Services,21100.0,22.5,0.1,10.5,11.9,Moderate Controversy Level,2.0,38.0,Medium
DLR,"Digital Realty Trust, Inc.",Real Estate,REIT - Specialty,3664.0,12.6,2.8,7.0,2.8,None Controversy Level,2.0,6.0,Low
FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,1023.0,21.05,4.05,6.1,8.9,Unknown,2.0,32.0,Unknown
DXCM,"Dexcom, Inc.",Healthcare,Medical Devices,9500.0,24.0,5.3,8.1,10.6,Low Controversy Level,1.0,45.0,Medium
DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,1900.0,33.8,17.7,7.5,8.6,Moderate Controversy Level,2.0,80.0,High
DAL,"Delta Air Lines, Inc.",Industrials,Airlines,103000.0,30.3,9.9,5.8,14.6,Moderate Controversy Level,2.0,70.0,High
DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery,83000.0,20.0,2.7,6.5,10.8,Moderate Controversy Level,2.0,28.0,Low
DECK,Deckers Outdoor Corp,Consumer Cyclical,Footwear & Accessories,4800.0,21.05,4.05,6.1,8.9,Unknown,2.0,32.0,Unknown
